NAME_ENGL,ISO3_CODE,group,indNum,indicator,val,url,check
United Arab Emirates,ARE,group1,1,indicator_A,20.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Afghanistan,AFG,group1,1,indicator_A,26.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Antigua and Barbuda,ATG,group1,1,indicator_A,25.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Anguilla,AIA,group1,1,indicator_A,34.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Albania,ALB,group1,1,indicator_A,34.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Armenia,ARM,group1,1,indicator_A,17.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Angola,AGO,group1,1,indicator_A,20.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Argentina,ARG,group1,1,indicator_A,36.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
American Samoa,ASM,group1,1,indicator_A,20.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Austria,AUT,group1,1,indicator_A,25.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Cuba,CUB,group1,1,indicator_A,31.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Cape Verde,CPV,group1,1,indicator_A,31.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Curaçao,CUW,group1,1,indicator_A,27.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Antarctica,ATA,group1,1,indicator_A,40.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Andorra,AND,group1,1,indicator_A,33.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Christmas Island,CXR,group1,1,indicator_A,30.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Cyprus,CYP,group1,1,indicator_A,18.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Czechia,CZE,group1,1,indicator_A,32.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Cameroon,CMR,group1,1,indicator_A,32.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Australia,AUS,group1,1,indicator_A,7.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Aruba,ABW,group1,1,indicator_A,16.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Azerbaijan,AZE,group1,1,indicator_A,43.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Bosnia and Herzegovina,BIH,group1,1,indicator_A,46.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
Barbados,BRB,group1,1,indicator_A,35.8235294117647,https://www.eui.eu/research-hub?id=gifi-global-initiative-on-the-future-of-the-internet-,check
